Function,Calls,Total Time,Total CPU,Total Memory,Total GPU,Total IO,Avg Duration,Avg CPU Usage,Avg Memory Usage,Avg GPU Usage,Avg IO Usage
TimeStep,3,0.005478,0.005476,0.492188,0.000000,0.000000,0.001826,0.001825,0.164062,0.000000,0.000000
ImageTask,3,0.002372,0.002371,0.000000,0.000000,0.000000,0.000791,0.000790,0.000000,0.000000,0.000000
VisionMotorStep,3,0.002217,0.002218,0.000000,0.000000,0.000000,0.000739,0.000739,0.000000,0.000000,0.000000
Episode,3,0.005566,0.005566,0.000000,0.000000,0.000000,0.001855,0.001855,0.000000,0.000000,0.000000
VisionMotorEpisode,3,0.002158,0.002158,0.492188,0.000000,0.000000,0.000719,0.000719,0.164062,0.000000,0.000000
VisionMotorHandEpisode,3,0.002338,0.002337,0.000000,0.000000,0.000000,0.000779,0.000779,0.000000,0.000000,0.000000
convert_images,4724,3.596259,3.321500,1.847656,0.000000,0.000000,0.000761,0.000703,0.000391,0.000000,0.000000
<lambda>,259,0.181256,0.184837,0.000000,0.000000,0.000000,0.000700,0.000714,0.000000,0.000000,0.000000
<dictcomp>,2304,1.762788,1.643007,0.984375,0.000000,0.000000,0.000765,0.000713,0.000427,0.000000,0.000000
set_classes,67,0.057955,0.060706,0.000000,0.000000,0.000000,0.000865,0.000906,0.000000,0.000000,0.000000
__len__,26,0.017283,0.019237,0.492188,0.000000,0.000000,0.000665,0.000740,0.018930,0.000000,0.000000
__getitem__,38,0.025400,0.027360,-0.250000,0.000000,0.000000,0.000668,0.000720,-0.006579,0.000000,0.000000
__setitem__,3,0.002018,0.002017,0.000000,0.000000,0.000000,0.000673,0.000672,0.000000,0.000000,0.000000
iter,3,0.001978,0.001979,0.000000,0.000000,0.000000,0.000659,0.000660,0.000000,0.000000,0.000000
__add__,12,0.008354,0.008354,0.492188,0.000000,0.000000,0.000696,0.000696,0.041016,0.000000,0.000000
append,7,0.004655,0.004655,0.000000,0.000000,0.000000,0.000665,0.000665,0.000000,0.000000,0.000000
split,3,0.023808,0.023807,0.253906,0.000000,0.000000,0.007936,0.007936,0.084635,0.000000,0.000000
concat,3,0.045302,0.045301,0.738281,0.000000,0.000004,0.015101,0.015100,0.246094,0.000000,0.000001
<listcomp>,10,0.724329,0.721635,-1.476564,0.000000,0.000000,0.072433,0.072163,-0.147656,0.000000,0.000000
from_lists,3,0.218716,0.218711,-0.738282,0.000000,0.000000,0.072905,0.072904,-0.246094,0.000000,0.000000
dataset,9,261.231245,261.218920,-0.000000,0.000000,0.000000,29.025694,29.024324,-0.000000,0.000000,0.000000
from_list,3,0.235789,0.235784,-0.738282,0.000000,0.015625,0.078596,0.078595,-0.246094,0.000000,0.005208
from_dict,3,0.146209,0.146207,0.000000,0.000000,0.000000,0.048736,0.048736,0.000000,0.000000,0.000000
from_dataset,1,0.165781,0.165778,0.000000,0.000000,0.000000,0.165781,0.165778,0.000000,0.000000,0.000000
