OutputType,InputType,Relation,OutputProjection,InputSpecifier,type_uid
process,process,CREATED,process.parent_process,process,100701
user,process,OWNED,process.user,process,
user,managed_entity,CREATED,actor.user,entity,300401
user,managed_entity,READ,actor.user,entity,300402
user,managed_entity,UPDATED,actor.user,entity,300403
user,managed_entity,DELETED,actor.user,entity,300404
process,managed_entity,CREATED,actor.process,entity,300401
process,managed_entity,READ,actor.process,entity,300402
process,managed_entity,UPDATED,actor.process,entity,300403
process,managed_entity,DELETED,actor.process,entity,300404
process,query_info,CREATED,actor.process,query_info,300401
user,query_info,CREATED,actor.user,query_info,300401
process,file,LOADED,process,process.file,
process,file,CREATED,actor.process,file,100101
process,file,READ,actor.process,file,100102
process,file,UPDATED,actor.process,file,100103
process,file,DELETED,actor.process,file,100104
user,file,CREATED,actor.user,file,100101
user,file,READ,actor.user,file,100102
user,file,UPDATED,actor.user,file,100103
user,file,DELETED,actor.user,file,100104
network_endpoint,email,CREATED,src_endpoint,email,
network_endpoint,email,ACCEPTED,dst_endpoint,email,
process,reg_key,CREATED,actor.process,reg_key,20100101
process,reg_key,READ,actor.process,reg_key,20100102
process,reg_key,UPDATED,actor.process,reg_key,20100103
process,reg_key,DELETED,actor.process,reg_key,20100104
process,reg_value,READ,actor.process,reg_value,20100201
process,reg_value,CREATED,actor.process,reg_value,20100202
process,reg_value,UPDATED,actor.process,reg_value,20100203
process,reg_value,DELETED,actor.process,reg_value,20100204
