az_angle;elev_angle;sound_file;condition;level;roving;feedback
0;0;pink_noises/noise1.wav;;65;6;true
10;0;pink_noises/noise2.wav;;65;6;true
20;0;pink_noises/noise3.wav;;65;6;true
30;0;pink_noises/noise4.wav;;65;6;true
40;0;pink_noises/noise5.wav;;65;6;true
50;0;pink_noises/noise6.wav;;65;6;true
60;0;pink_noises/noise7.wav;;65;6;true
70;0;pink_noises/noise8.wav;;65;6;true
80;0;pink_noises/noise9.wav;;65;6;true
90;0;pink_noises/noise10.wav;;65;6;true
100;0;pink_noises/noise11.wav;;65;6;true
110;0;pink_noises/noise12.wav;;65;6;true
120;0;pink_noises/noise13.wav;;65;6;true
130;0;pink_noises/noise14.wav;;65;6;true
140;0;pink_noises/noise15.wav;;65;6;true
150;0;pink_noises/noise16.wav;;65;6;true
160;0;pink_noises/noise17.wav;;65;6;true
170;0;pink_noises/noise18.wav;;65;6;true
180;0;pink_noises/noise19.wav;;65;6;true
-170;0;pink_noises/noise20.wav;;65;6;true
-160;0;pink_noises/noise21.wav;;65;6;true
-150;0;pink_noises/noise22.wav;;65;6;true
-140;0;pink_noises/noise23.wav;;65;6;true
-130;0;pink_noises/noise24.wav;;65;6;true
-120;0;pink_noises/noise25.wav;;65;6;true
-110;0;pink_noises/noise26.wav;;65;6;true
-100;0;pink_noises/noise27.wav;;65;6;true
-90;0;pink_noises/noise28.wav;;65;6;true
-80;0;pink_noises/noise29.wav;;65;6;true
-70;0;pink_noises/noise30.wav;;65;6;true
-60;0;pink_noises/noise1.wav;;65;6;true
-50;0;pink_noises/noise2.wav;;65;6;true
-40;0;pink_noises/noise3.wav;;65;6;true
-30;0;pink_noises/noise4.wav;;65;6;true
-20;0;pink_noises/noise5.wav;;65;6;true
-10;0;pink_noises/noise6.wav;;65;6;true
